model_name,dataset_name,task,usage_type,input_modality,output_type,metric,source_reference,notes
scPRINT,Lung Atlas,cell annotation,validation,scRNA-seq,cell labels,accuracy/F1,Kalfon et al. 2024,
scMulan,Human Cell Landscape,zero-shot annotation/integration,zero_shot_evaluation,scRNA-seq,cell labels/embedding,accuracy/scIB,Bian et al. 2024,
scMulan,COVID-19 integration benchmark,integration,zero_shot_evaluation,scRNA-seq,integrated embedding,scIB metrics,Bian et al. 2024,
GeneCompass,Multiple Sclerosis,cell type annotation,fine_tuning,snRNA-seq,cell labels,accuracy/F1,Yang et al. 2024,
GeneCompass,Srivatsan chemical perturbation,drug response prediction,fine_tuning,sci-Plex,dose/response expression,correlation,Yang et al. 2024,
CellFM,PanglaoDB downstream collection,gene function prediction,fine_tuning,scRNA-seq,gene functions,AUROC/F1,Zeng et al. 2024,
CellFM,Adamson Perturb-seq,perturbation prediction,fine_tuning,Perturb-seq,expression change,Pearson correlation,Zeng et al. 2024,
CellFM,Norman Perturb-seq,perturbation prediction,fine_tuning,Perturb-seq,expression change,Pearson correlation,Zeng et al. 2024,
Cell2Sentence,GTEx,bulk text-conditioned analysis,external_reference,bulk RNA-seq + text,generated labels/text,task-specific,Levine et al. 2023,
ChatCell,Human lung cancer drug-response,drug sensitivity dialogue,fine_tuning,gene sentence + prompt,sensitive/resistant text answer,accuracy/F1,Fang et al. 2024,
ChatCell,Oral squamous cancer drug-response,drug sensitivity dialogue,fine_tuning,gene sentence + prompt,sensitive/resistant text answer,accuracy/F1,Fang et al. 2024,
scELMo,CITE-seq,multiomics representation,validation,RNA + protein,embeddings/labels,task-specific,Liu et al. 2023,
scELMo,CyTOF,cross-modality representation,validation,mass cytometry,embeddings/labels,task-specific,Liu et al. 2023,
CELLama,Tabula Sapiens,cell embedding/annotation,validation,scRNA-seq + metadata sentence,cell embeddings,clustering/accuracy,Choi et al. 2024,
CELLama,COVID-19 integration benchmark,context-aware embedding,validation,scRNA-seq + metadata sentence,cell embeddings,integration metrics,Choi et al. 2024,
scChat,COVID-19 integration benchmark,contextualized analysis,external_reference,AnnData + natural language,analysis and explanation,human/analysis-specific,Lu et al. 2024,
