dataset_id,dataset_name,dataset_category,task,species,tissue,disease,modality,models_using_it,accession,official_url,processed_data_available,raw_data_available,file_format,license,access_type,original_paper_title,original_paper_doi,original_paper_url,notes,verified_date
DS011,Tabula Sapiens,cell_annotation_and_clustering; atlas_and_disease,atlas reference; annotation,human,multi-tissue,healthy,scRNA-seq,UCE; LangCell; CELLama,Tabula Sapiens portal collection,https://tabula-sapiens-portal.ds.czbiohub.org/,yes,yes/portal dependent,h5ad; matrix,CC BY 4.0（以发布页为准）,direct,"The Tabula Sapiens: A multiple-organ, single-cell transcriptomic atlas of humans",10.1126/science.abl4896,https://doi.org/10.1126/science.abl4896,,2026-08-21
DS012,Tabula Muris,cell_annotation_and_clustering; atlas_and_disease,atlas reference; annotation,mouse,multi-tissue,healthy,scRNA-seq,tGPT,figshare collection 5829687,https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728,yes,yes,h5ad; RDS; matrix,CC BY 4.0（以记录为准）,direct,Single-cell transcriptomics of 20 mouse organs creates a Tabula Muris,10.1038/s41586-018-0590-4,https://doi.org/10.1038/s41586-018-0590-4,链接为Tabula Muris Senis发布对象；原始Tabula Muris另有figshare集合。,2026-08-21
DS013,Heart Atlas,cell_annotation_and_clustering,annotation; atlas mapping,human,heart,healthy,scRNA-seq; snRNA-seq,scBERT; GeneFormer,HCA heart project,https://www.heartcellatlas.org/,yes,yes/portal dependent,h5ad; matrix,HCA project-specific,direct,Cells of the adult human heart,10.1038/s41586-020-2797-4,https://doi.org/10.1038/s41586-020-2797-4,,2026-08-21
DS014,Lung Atlas,cell_annotation_and_clustering,integration; annotation,human,lung,healthy; multiple diseases,scRNA-seq,scBERT; scPRINT; CELLama,HLCA collection,https://cellxgene.cziscience.com/collections/6f6d381a-7701-4781-935c-db10d30de293,yes,source-study dependent,h5ad,dataset-specific,direct,An integrated cell atlas of the lung in health and disease,10.1038/s41591-023-02327-2,https://doi.org/10.1038/s41591-023-02327-2,综述也引用Travaglini 2020肺图谱；此处以HLCA整合图谱为主。,2026-08-21
DS015,Adamson Perturb-seq,gene_perturbation,perturbation prediction,human,K562 cell line,cancer cell line,Perturb-seq,CellPLM; scGPT; CellFM,GSE90546,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90546,yes,yes,matrix; SRA,GEO public data; cite source,direct,A Multiplexed Single-Cell CRISPR Screening Platform Enables Systematic Dissection of the Unfolded Protein Response,10.1016/j.cell.2016.11.048,https://doi.org/10.1016/j.cell.2016.11.048,,2026-08-21
DS016,Norman Perturb-seq,gene_perturbation,perturbation prediction,human,K562 cell line,cancer cell line,Perturb-seq,CellPLM; scGPT; CellFM,GSE133344,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE133344,yes,yes,matrix; SRA,GEO public data; cite source,direct,Exploring genetic interaction manifolds constructed from rich single-cell phenotypes,10.1126/science.aax4438,https://doi.org/10.1126/science.aax4438,,2026-08-21
DS017,Replogle Perturb-seq,gene_perturbation,perturbation prediction; gene network inference,human,K562; RPE1,cell lines,direct-capture Perturb-seq,scGPT; scPRINT,GSE194122,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194122,yes,yes,h5ad/matrix; SRA,GEO public data; cite source,direct,Mapping information-rich genotype-phenotype landscapes with genome-scale Perturb-seq,10.1016/j.cell.2022.05.013,https://doi.org/10.1016/j.cell.2022.05.013,综述同时引用2020 direct-capture方法论文；这里记录常用全基因组数据版本。,2026-08-21
DS018,Dixit Perturb-seq,gene_perturbation,perturbation prediction,human,immune cell line,cell line,Perturb-seq,scPRINT,GSE90063,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90063,yes,yes,matrix; SRA,GEO public data; cite source,direct,Perturb-Seq: Dissecting Molecular Circuits with Scalable Single-Cell RNA Profiling of Pooled Genetic Screens,10.1016/j.cell.2016.11.038,https://doi.org/10.1016/j.cell.2016.11.038,,2026-08-21
DS019,Srivatsan chemical perturbation,gene_perturbation; drug_response,chemical perturbation prediction,human,cell lines,cell lines,sci-Plex scRNA-seq,GeneCompass,GSE142784,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE142784,yes,yes,matrix; SRA,GEO public data; cite source,direct,Massively multiplex chemical transcriptomics at single-cell resolution,10.1126/science.aax6234,https://doi.org/10.1126/science.aax6234,,2026-08-21
DS020,MERFISH mouse brain,spatial_transcriptomics,spatial label; niche composition,mouse,whole brain,healthy,MERFISH; scRNA-seq reference,Nicheformer,Allen Brain Cell Atlas,https://portal.brain-map.org/atlases-and-data/bkp/abc-atlas,yes,yes/large image and molecular data,h5ad; CSV; images,Allen Institute terms,direct,A high-resolution transcriptomic and spatial atlas of cell types in the whole mouse brain,10.1038/s41586-023-06812-z,https://doi.org/10.1038/s41586-023-06812-z,与Zhang et al. 2023 MERFISH伴随论文（10.1038/s41586-023-06808-9）共同构成ABCA资源。,2026-08-21
DS021,CosMx human liver,spatial_transcriptomics,spatial composition; label prediction,human,liver,mixed/demo,CosMx SMI,Nicheformer,NanoString public dataset,https://nanostring.com/products/cosmx-spatial-molecular-imager/ffpe-dataset/,yes,vendor-dependent,CSV; images; AnnData conversions,NanoString data terms,direct/terms apply,High-plex imaging of RNA and proteins at subcellular resolution in fixed tissue by spatial molecular imaging,10.1038/s41587-021-01006-2,https://doi.org/10.1038/s41587-021-01006-2,论文是CosMx/SMI方法与示例数据来源；具体下载版本以厂商页面为准。,2026-08-21
DS022,CosMx human lung,spatial_transcriptomics,spatial composition; label prediction,human,lung,cancer/demo,CosMx SMI,Nicheformer,NanoString public dataset,https://nanostring.com/products/cosmx-spatial-molecular-imager/ffpe-dataset/,yes,vendor-dependent,CSV; images; AnnData conversions,NanoString data terms,direct/terms apply,High-plex imaging of RNA and proteins at subcellular resolution in fixed tissue by spatial molecular imaging,10.1038/s41587-021-01006-2,https://doi.org/10.1038/s41587-021-01006-2,与human liver共用平台方法论文，但属于不同组织数据。,2026-08-21
DS023,Xenium human lung,spatial_transcriptomics,spatial composition; label prediction,human,lung,cancer/demo,Xenium in situ,Nicheformer,10x Genomics public dataset,https://www.10xgenomics.com/datasets,yes,instrument outputs available for selected datasets,Xenium output bundle; CSV; images,10x Genomics terms,direct,10x Genomics public demonstration dataset (no independent dataset paper),,,使用时需在10x数据页按Xenium和lung筛选并记录版本。,2026-08-21
DS024,Xenium human colon,spatial_transcriptomics,spatial composition; label prediction,human,colon,cancer/demo,Xenium in situ,Nicheformer,10x Genomics public dataset,https://www.10xgenomics.com/datasets,yes,instrument outputs available for selected datasets,Xenium output bundle; CSV; images,10x Genomics terms,direct,10x Genomics public demonstration dataset (no independent dataset paper),,,厂商示例数据，无独立原始数据论文。,2026-08-21
DS025,MERSCOPE FFPE immuno-oncology,spatial_transcriptomics,spatial imputation; annotation,human,tumor FFPE,cancer,MERSCOPE/MERFISH,CellPLM,Vizgen public dataset,https://info.vizgen.com/ffpe-showcase,yes,vendor-dependent,CSV; images; cell boundaries,Vizgen terms,registration may be required,Vizgen public demonstration dataset (no independent dataset paper located),,,403或注册墙不等于失效；链接检查应标记access_restricted。,2026-08-21
DS026,CITE-seq,multiomics,RNA-protein integration,human; mouse,immune cells,mixed,CITE-seq RNA + surface protein,scELMo,GSE100866,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE100866,yes,yes,matrix; SRA,GEO public data; cite source,direct,Simultaneous epitope and transcriptome measurement in single cells,10.1038/nmeth.4380,https://doi.org/10.1038/nmeth.4380,CITE-seq也指技术类别；这里记录原始方法数据。,2026-08-21
DS027,CyTOF,multiomics,protein-based cell phenotyping,human,immune cells,mixed,mass cytometry,scELMo,not uniquely specified by survey,https://flowrepository.org/,varies,varies,FCS,study-specific,not uniquely located,An Experimentally and Computationally Optimized Mass Cytometry Workflow,10.1038/nprot.2012.026,https://doi.org/10.1038/nprot.2012.026,综述仅写CyTOF data，未给唯一数据集；记录方法论文，不假定具体accession。,2026-08-21
DS028,10x Multiome PBMC,multiomics,RNA-ATAC integration,human,peripheral blood,healthy,10x Multiome RNA + ATAC,scGPT,10x Genomics public dataset,https://www.10xgenomics.com/datasets/pbmc-from-a-healthy-donor-granulocytes-removed-through-cell-sorting-10-k-1-standard-2-0-0,yes,yes,matrix; fragments.tsv.gz; BAM,10x Genomics terms,direct,10x Genomics public demonstration dataset (no independent dataset paper),,,,2026-08-21
DS029,BMMC,multiomics,modality prediction; joint embedding,human,bone marrow,healthy,multiome; CITE-seq,scGPT,NeurIPS 2021 Open Problems collection,https://openproblems.bio/events/2021-09_neurips/,yes,source-study dependent,h5ad,competition/data-specific,direct,"A sandbox for prediction and integration of DNA, RNA, and proteins in single cells",,https://openproblems.bio/about/,BMMC是NeurIPS 2021多模态单细胞挑战核心数据。,2026-08-21
DS030,ASAP PBMC,multiomics,chromatin-protein integration,human,peripheral blood,healthy,ASAP-seq ATAC + protein,scGPT,GSE156478,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156478,yes,yes,matrix; fragments; SRA,GEO public data; cite source,direct,"Scalable, multimodal profiling of chromatin accessibility, gene expression and protein levels in single cells",10.1038/s41587-021-00927-2,https://doi.org/10.1038/s41587-021-00927-2,ASAP-seq数据与DOGMA-seq同论文介绍。,2026-08-21
DS031,Human lung cancer drug-response,drug_response,single-cell drug sensitivity,human,lung cancer cell line,lung cancer,scRNA-seq,CellLM; ChatCell,GSE149383,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE149383,yes,yes,matrix; SRA,GEO public data; cite source,direct,Single-cell transcriptional changes associated with drug tolerance and response to combination therapies in cancer,10.1038/s41467-021-21884-z,https://doi.org/10.1038/s41467-021-21884-z,"CellLM使用2,739个细胞、Erlotinib敏感/耐受任务。",2026-08-21
DS032,Oral squamous cancer drug-response,drug_response,single-cell cisplatin sensitivity,human,oral squamous cancer cells,oral squamous cell carcinoma,scRNA-seq,CellLM; ChatCell,GSE117872,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117872,yes,yes,matrix; SRA,GEO public data; cite source,direct,Longitudinal single-cell RNA sequencing of patient-derived primary cells reveals drug-induced infidelity in stem cell hierarchy,10.1038/s41467-018-07261-3,https://doi.org/10.1038/s41467-018-07261-3,CellLM论文还引用Ravasio 2020与Suphavilai 2021作为后续分析来源。,2026-08-21
DS033,CDR / DeepCDR benchmark,drug_response,cell-line cancer drug response regression,human,cancer cell lines,multiple cancers,bulk multi-omics + drug structure,scFoundation,CCLE + GDSC derived,https://github.com/kimmo1019/DeepCDR,yes,via CCLE/GDSC,CSV; NPY; graphs,CCLE/GDSC terms; code license,mixed,DeepCDR: a hybrid graph convolutional network for predicting cancer drug response,10.1093/bioinformatics/btaa822,https://doi.org/10.1093/bioinformatics/btaa822,这不是一份单细胞原始数据；scFoundation把其嵌入用于CDR预测。,2026-08-21
DS034,SCAD drug-response collection,drug_response,single-cell drug response annotation,human,cancer cell lines,multiple cancers,bulk RNA-seq + scRNA-seq transfer learning,scFoundation,GDSC; GSE149215; GSE108383; SCP542,https://github.com/CompBioT/SCAD,yes,via source repositories,CSV; matrix; h5ad conversions,source-specific,mixed,Enabling Single-Cell Drug Response Annotations from Bulk RNA-Seq Using SCAD,10.1002/advs.202204113,https://doi.org/10.1002/advs.202204113,综述所称Zheng et al. 2023 drug response dataset对应SCAD数据组合。,2026-08-21
DS035,TCGA,atlas_and_disease,cancer subtype; prognosis; bulk transfer,human,multi-cancer,cancer,bulk multi-omics,tGPT,TCGA program,https://portal.gdc.cancer.gov/,yes,controlled/open tiers,TSV; MAF; BAM; images,GDC data use policies,mixed/controlled,The Cancer Genome Atlas Pan-Cancer analysis project,10.1038/ng.2764,https://doi.org/10.1038/ng.2764,TCGA是项目集合，不是单细胞数据。,2026-08-21
DS036,GTEx,atlas_and_disease,bulk tissue representation; reference,human,multi-tissue,non-diseased donors,bulk RNA-seq; genotype,tGPT; Cell2Sentence,dbGaP phs000424,https://gtexportal.org/home/,yes,controlled via dbGaP,GCT; TSV; BAM controlled,GTEx/dbGaP data use policies,mixed/controlled,The GTEx Consortium atlas of genetic regulatory effects across human tissues,10.1126/science.aaz1776,https://doi.org/10.1126/science.aaz1776,个体级基因型/原始数据受控。,2026-08-21
DS037,COVID-19 integration benchmark,atlas_and_disease,reference mapping; batch integration,human,peripheral blood; respiratory tissues,COVID-19,scRNA-seq,scGPT; scMulan; CELLama,composite benchmark,https://github.com/theislab/scarches-reproducibility,yes,source-study dependent,h5ad,source-specific,composite,Mapping single-cell data to reference atlases by transfer learning,10.1038/s41587-021-01001-7,https://doi.org/10.1038/s41587-021-01001-7,综述引用Lotfollahi等的整合/映射基准，未指向单一新采集COVID数据。,2026-08-21
DS038,PanglaoDB downstream collection,cell_annotation_and_clustering; atlas_and_disease,gene function; annotation reference,human; mouse,multi-tissue,mixed,scRNA-seq aggregation,CellFM,PanglaoDB,https://panglaodb.se/,yes,links to source SRA studies,RData; tables,source-study specific,direct/aggregated,PanglaoDB: a web server for exploration of mouse and human single-cell RNA sequencing data,10.1093/database/baz046,https://doi.org/10.1093/database/baz046,平台聚合数据；仍需追溯每个SRA样本的原始论文与许可。,2026-08-21
