model_id,model_name,model_category,base_architecture,main_input,main_output,main_tasks,official_repository,repository_type,paper_title,paper_url,weights_url,documentation_url,license,installation_status,notes,verified_date
M011,scCello,PLM,BERT + cell ontology-guided objectives,gene tokens / expression,cell embeddings; ontology-aware labels,clustering; annotation; marker genes; drug response,https://github.com/DeepGraphLearning/scCello,official,Cell ontology guided transcriptome foundation model,https://proceedings.neurips.cc/paper_files/paper/2024/hash/0be40478ab6ee0006ee3b38b158bbc8f-Abstract-Conference.html,https://huggingface.co/katarinayuan/scCello-zeroshot,https://github.com/DeepGraphLearning/scCello,see repository,documented,,2026-08-21
M012,scPRINT,PLM,bidirectional Transformer encoder-decoder,expression + gene metadata,cell embeddings; denoised expression; GRN,denoising; annotation; gene network inference,https://github.com/cantinilab/scPRINT,official,scPRINT: pre-training on 50 million cells allows robust gene network predictions,https://doi.org/10.1038/s41467-025-58699-1,https://huggingface.co/jkobject/scPRINT,https://cantinilab.github.io/scPRINT/,GPL-3.0,documented,综述引用2024预印本；现有期刊版为2025。,2026-08-21
M013,scMulan,PLM,decoder-only generative Transformer,ranked/shuffled gene tokens,cell labels; generated cell states,zero-shot annotation; integration; generation,https://github.com/SuperBianC/scMulan,official,scMulan: A Multitask Generative Pre-Trained Language Model for Single-Cell Analysis,https://doi.org/10.1007/978-1-0716-3989-4_57,https://github.com/SuperBianC/scMulan#quick-start,https://github.com/SuperBianC/scMulan,MIT,documented,训练数据另在Zenodo 14209942。,2026-08-21
M014,GeneCompass,PLM,knowledge-informed BERT/Transformer,expression + four types of prior knowledge,gene/cell embeddings,annotation; perturbation; GRN; drug dose response,https://github.com/xCompass-AI/GeneCompass,official,GeneCompass: deciphering universal gene regulatory mechanisms with a knowledge-informed cross-species foundation model,https://doi.org/10.1038/s41422-024-01034-y,https://github.com/xCompass-AI/GeneCompass#download-checkpoints,https://github.com/xCompass-AI/GeneCompass,see repository,documented,,2026-08-21
M015,CellFM,PLM,RetNet/retention network,normalized gene expression,cell/gene embeddings and predictions,annotation; perturbation; gene function,https://github.com/biomed-AI/CellFM,official,CellFM: a large-scale foundation model pre-trained on transcriptomics of 100 million human cells,https://doi.org/10.1038/s41467-025-59926-5,https://huggingface.co/biomed-AI/CellFM,https://github.com/biomed-AI/CellFM,CC BY-NC-ND 4.0/model terms may differ,documented,代码、权重和论文数据需分别核对许可。,2026-08-21
M016,Cell2Sentence,LLM_or_agent,GPT/Pythia/Gemma adapted to cell sentences,rank-ordered gene-name sentences + text,cell labels; generated cells; text,label prediction; generation; summarization,https://github.com/vandijklab/cell2sentence,official,Cell2Sentence: Teaching Large Language Models the Language of Biology,https://openreview.net/forum?id=f9jzZUn6dM,https://huggingface.co/vandijklab,https://vandijklab-cell2sentence.readthedocs.io/,Apache-2.0,documented,仓库现已包含后续C2S-Scale，需区分综述中的早期版本。,2026-08-21
M017,ChatCell,LLM_or_agent,T5 encoder-decoder with cell vocabulary adaptation,cell gene sentences + natural-language prompts,natural-language/sequence predictions,annotation; drug sensitivity; dialogue,https://github.com/zjunlp/ChatCell,official,ChatCell: Facilitating Single-Cell Analysis with Natural Language,https://arxiv.org/abs/2402.08303,https://huggingface.co/zjunlp/chatcell-large,https://github.com/zjunlp/ChatCell,see repository/model card,documented,,2026-08-21
M018,GenePT,LLM_or_agent,OpenAI text embeddings + simple downstream models,gene descriptions / gene names; cell expression-derived aggregation,gene/cell embeddings,gene function; interaction; cell classification,https://github.com/yiqunchen/GenePT,official,GenePT: A Simple But Hard-to-Beat Foundation Model for Genes and Cells Built From ChatGPT,https://doi.org/10.1101/2023.10.16.562533,https://zenodo.org/records/10833191,https://github.com/yiqunchen/GenePT,see repository/Zenodo,documented,依赖外部文本嵌入；不是传统大规模单细胞预训练。,2026-08-21
M019,scELMo,LLM_or_agent,LLM-derived feature embeddings + adapters,gene/drug textual descriptions + omics data,feature/cell embeddings and predictions,clustering; perturbation; treatment analysis; multiomics,https://github.com/HelloWorldLTY/scELMo,official,Embeddings from language models are good learners for single-cell data analysis,https://doi.org/10.1016/j.patter.2025.101431,https://github.com/HelloWorldLTY/scELMo#database-for-scelmo,https://github.com/HelloWorldLTY/scELMo,MIT,documented,综述引用早期版本；期刊版现已发表。,2026-08-21
M020,scInterpreter,LLM_or_agent,Llama-13B + GPT-derived gene embeddings,top expressed genes + instruction,cell type labels,cell type annotation,,unverified,scInterpreter: Training Large Language Models to Interpret scRNA-seq Data for Cell Type Annotation,https://arxiv.org/abs/2402.12405,,,unverified,no confirmed official code,论文页未提供可核实官方仓库。,2026-08-21
M021,CELLama,LLM_or_agent,language-model cell embedding,gene expression + metadata/spatial context as sentences,cell embeddings,cell typing; spatial context analysis,https://github.com/portrai-io/CELLama,official,CELLama: Foundation Model for Single Cell and Spatial Transcriptomics by Cell Embedding Leveraging Language Model Abilities,https://doi.org/10.1101/2024.05.08.593094,,https://github.com/portrai-io/CELLama,Apache-2.0,documented,综述引用预印本；仓库后来引用期刊版。,2026-08-21
M022,scChat,LLM_or_agent,LLM-powered multi-agent analysis system,natural language + AnnData,analysis plans; tables; figures; explanations,contextualized scRNA-seq analysis,https://github.com/li-group/scChat,official,scChat: A large language model-powered co-pilot for contextualized single-cell RNA sequencing analysis,https://doi.org/10.1002/aic.18593,,https://github.com/li-group/scChat,see repository,documented,这是分析代理系统，不是预训练语料平台。,2026-08-21
