dataset_id,paper_id,name,organism,tissue,modality,source_url,accession,license,status,local_path,sha256,tags,notes
single-cell-foundation-model-survey-resources,zhang-2025-single-cell-foundation-model-survey,ACL 2025 单细胞基础模型资源目录,multi-species,multi-tissue,scRNA-seq;spatial-transcriptomics;multiomics,https://aclanthology.org/2025.acl-long.26/,10.18653/v1/2025.acl-long.26,各原始数据源许可分别核实,cataloged,,,topic:single-cell;topic:foundation-model;resource:survey;status:cataloged,详细记录15个预训练语料、38个下游数据集、9个平台、22个模型仓库和74条任务—模型关系；仅保存链接与元数据，不上传大型数据。
scfm-ds001,zheng-2017-pbmc68k,ACL综述资源：Zheng68K,human,peripheral blood,scRNA-seq,https://www.10xgenomics.com/datasets/fresh-68-k-pbm-cs-donor-a-1-standard-1-1-0,SRP073767,10x terms + SRA terms,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS001,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=zheng-2017-pbmc68k。常称Fresh 68K PBMC。
scfm-ds002,zhang-2025-single-cell-foundation-model-survey,ACL综述资源：PBMC 5K,human,peripheral blood,scRNA-seq,https://www.10xgenomics.com/datasets/5-k-peripheral-blood-mononuclear-cells-pbm-cs-from-a-healthy-donor-next-gem-3-1-standard-3-0-2,,CC BY 4.0 + 10x citation guidelines,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS002,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=无独立论文。厂商示例数据；不要虚构独立论文。
scfm-ds003,zhang-2025-single-cell-foundation-model-survey,ACL综述资源：PBMC 10K,human,peripheral blood,scRNA-seq; optional multiome variants,https://www.10xgenomics.com/datasets/10-k-pbm-cs-from-a-healthy-donor-gene-expression-and-cell-surface-protein-3-standard-3-0-0,,10x Genomics terms,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS003,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=无独立论文。10K存在多个化学版本/模态；使用前记录具体页面和版本。
scfm-ds004,baron-2016-pancreas,ACL综述资源：Baron pancreas,human; mouse,pancreas,scRNA-seq,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE84133,GSE84133,GEO public data; cite source,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS004,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=baron-2016-pancreas。综述对scFoundation引用Huang 2018基准整理；原始数据论文是Baron 2016。
scfm-ds005,muraro-2016-pancreas,ACL综述资源：Muraro pancreas,human,pancreas,scRNA-seq,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE85241,GSE85241,GEO public data; cite source,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS005,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=muraro-2016-pancreas。
scfm-ds006,segerstolpe-2016-pancreas,ACL综述资源：Segerstolpe pancreas,human,pancreatic islets,scRNA-seq,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-5061,E-MTAB-5061,ArrayExpress/BioStudies terms,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS006,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=segerstolpe-2016-pancreas。
scfm-ds007,macparland-2018-liver,ACL综述资源：MacParland liver,human,liver,scRNA-seq,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115469,GSE115469,GEO public data; cite source,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS007,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=macparland-2018-liver。
scfm-ds008,schirmer-2019-ms,ACL综述资源：Multiple Sclerosis,human,brain,snRNA-seq,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE118257,GSE118257,GEO public data; cite source,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS008,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=schirmer-2019-ms。
scfm-ds009,regev-2017-human-cell-atlas,ACL综述资源：Human Cell Atlas,human,multi-tissue,single-cell multi-omics,https://data.humancellatlas.org/,platform collection,project-specific,mixed_access,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS009,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=regev-2017-human-cell-atlas。HCA是跨项目计划/平台，不是一份单一实验矩阵。
scfm-ds010,han-2020-human-cell-landscape,ACL综述资源：Human Cell Landscape,human,multi-tissue,scRNA-seq,https://db.cngb.org/search/project/CNP0000325/,HRA000027; GSE134355,CNGB/GEO terms; cite source,restricted_or_registration,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS010,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=han-2020-human-cell-landscape。不同镜像可见，下载前以官方项目记录为准。
scfm-ds011,tabula-sapiens-2022,ACL综述资源：Tabula Sapiens,human,multi-tissue,scRNA-seq,https://tabula-sapiens-portal.ds.czbiohub.org/,Tabula Sapiens portal collection,CC BY 4.0（以发布页为准）,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS011,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=tabula-sapiens-2022。
scfm-ds012,tabula-muris-2018,ACL综述资源：Tabula Muris,mouse,multi-tissue,scRNA-seq,https://figshare.com/articles/dataset/Tabula_Muris_Senis_Data_Objects/12654728,figshare collection 5829687,CC BY 4.0（以记录为准）,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS012,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=tabula-muris-2018。链接为Tabula Muris Senis发布对象；原始Tabula Muris另有figshare集合。
scfm-ds013,litvinukova-2020-heart,ACL综述资源：Heart Atlas,human,heart,scRNA-seq; snRNA-seq,https://www.heartcellatlas.org/,HCA heart project,HCA project-specific,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS013,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=litvinukova-2020-heart。
scfm-ds014,sikkema-2023-lung-atlas,ACL综述资源：Lung Atlas,human,lung,scRNA-seq,https://cellxgene.cziscience.com/collections/6f6d381a-7701-4781-935c-db10d30de293,HLCA collection,dataset-specific,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS014,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=sikkema-2023-lung-atlas。综述也引用Travaglini 2020肺图谱；此处以HLCA整合图谱为主。
scfm-ds015,adamson-2016-perturb-seq,ACL综述资源：Adamson Perturb-seq,human,K562 cell line,Perturb-seq,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90546,GSE90546,GEO public data; cite source,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS015,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=adamson-2016-perturb-seq。
scfm-ds016,norman-2019-perturb-seq,ACL综述资源：Norman Perturb-seq,human,K562 cell line,Perturb-seq,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE133344,GSE133344,GEO public data; cite source,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS016,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=norman-2019-perturb-seq。
scfm-ds017,replogle-2022-perturb-seq,ACL综述资源：Replogle Perturb-seq,human,K562; RPE1,direct-capture Perturb-seq,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194122,GSE194122,GEO public data; cite source,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS017,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=replogle-2022-perturb-seq。综述同时引用2020 direct-capture方法论文；这里记录常用全基因组数据版本。
scfm-ds018,dixit-2016-perturb-seq,ACL综述资源：Dixit Perturb-seq,human,immune cell line,Perturb-seq,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90063,GSE90063,GEO public data; cite source,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS018,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=dixit-2016-perturb-seq。
scfm-ds019,srivatsan-2020-sci-plex,ACL综述资源：Srivatsan chemical perturbation,human,cell lines,sci-Plex scRNA-seq,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE142784,GSE142784,GEO public data; cite source,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS019,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=srivatsan-2020-sci-plex。
scfm-ds020,yao-2023-mouse-brain-atlas,ACL综述资源：MERFISH mouse brain,mouse,whole brain,MERFISH; scRNA-seq reference,https://portal.brain-map.org/atlases-and-data/bkp/abc-atlas,Allen Brain Cell Atlas,Allen Institute terms,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS020,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=yao-2023-mouse-brain-atlas。与Zhang et al. 2023 MERFISH伴随论文（10.1038/s41586-023-06808-9）共同构成ABCA资源。
scfm-ds021,he-2021-cosmx-smi,ACL综述资源：CosMx human liver,human,liver,CosMx SMI,https://nanostring.com/products/cosmx-spatial-molecular-imager/ffpe-dataset/,NanoString public dataset,NanoString data terms,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS021,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=he-2021-cosmx-smi。论文是CosMx/SMI方法与示例数据来源；具体下载版本以厂商页面为准。
scfm-ds022,he-2021-cosmx-smi,ACL综述资源：CosMx human lung,human,lung,CosMx SMI,https://nanostring.com/products/cosmx-spatial-molecular-imager/ffpe-dataset/,NanoString public dataset,NanoString data terms,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS022,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=he-2021-cosmx-smi。与human liver共用平台方法论文，但属于不同组织数据。
scfm-ds023,zhang-2025-single-cell-foundation-model-survey,ACL综述资源：Xenium human lung,human,lung,Xenium in situ,https://www.10xgenomics.com/datasets,10x Genomics public dataset,10x Genomics terms,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS023,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=无独立论文。使用时需在10x数据页按Xenium和lung筛选并记录版本。
scfm-ds024,zhang-2025-single-cell-foundation-model-survey,ACL综述资源：Xenium human colon,human,colon,Xenium in situ,https://www.10xgenomics.com/datasets,10x Genomics public dataset,10x Genomics terms,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS024,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=无独立论文。厂商示例数据，无独立原始数据论文。
scfm-ds025,zhang-2025-single-cell-foundation-model-survey,ACL综述资源：MERSCOPE FFPE immuno-oncology,human,tumor FFPE,MERSCOPE/MERFISH,https://info.vizgen.com/ffpe-showcase,Vizgen public dataset,Vizgen terms,restricted_or_registration,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS025,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=无独立论文。403或注册墙不等于失效；链接检查应标记access_restricted。
scfm-ds026,stoeckius-2017-cite-seq,ACL综述资源：CITE-seq,human; mouse,immune cells,CITE-seq RNA + surface protein,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE100866,GSE100866,GEO public data; cite source,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS026,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=stoeckius-2017-cite-seq。CITE-seq也指技术类别；这里记录原始方法数据。
scfm-ds027,finck-2013-cytof-workflow,ACL综述资源：CyTOF,human,immune cells,mass cytometry,https://flowrepository.org/,not uniquely specified by survey,study-specific,ambiguous_source,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS027,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=finck-2013-cytof-workflow。综述仅写CyTOF data，未给唯一数据集；记录方法论文，不假定具体accession。
scfm-ds028,zhang-2025-single-cell-foundation-model-survey,ACL综述资源：10x Multiome PBMC,human,peripheral blood,10x Multiome RNA + ATAC,https://www.10xgenomics.com/datasets/pbmc-from-a-healthy-donor-granulocytes-removed-through-cell-sorting-10-k-1-standard-2-0-0,10x Genomics public dataset,10x Genomics terms,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS028,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=无独立论文。
scfm-ds029,luecken-2021-bmmc-sandbox,ACL综述资源：BMMC,human,bone marrow,multiome; CITE-seq,https://openproblems.bio/events/2021-09_neurips/,NeurIPS 2021 Open Problems collection,competition/data-specific,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS029,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=luecken-2021-bmmc-sandbox。BMMC是NeurIPS 2021多模态单细胞挑战核心数据。
scfm-ds030,mimitou-2021-asap-seq,ACL综述资源：ASAP PBMC,human,peripheral blood,ASAP-seq ATAC + protein,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156478,GSE156478,GEO public data; cite source,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS030,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=mimitou-2021-asap-seq。ASAP-seq数据与DOGMA-seq同论文介绍。
scfm-ds031,aissa-2021-lung-cancer-drug-response,ACL综述资源：Human lung cancer drug-response,human,lung cancer cell line,scRNA-seq,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE149383,GSE149383,GEO public data; cite source,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS031,"详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=aissa-2021-lung-cancer-drug-response。CellLM使用2,739个细胞、Erlotinib敏感/耐受任务。"
scfm-ds032,sharma-2018-oral-cancer-drug-response,ACL综述资源：Oral squamous cancer drug-response,human,oral squamous cancer cells,scRNA-seq,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117872,GSE117872,GEO public data; cite source,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS032,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=sharma-2018-oral-cancer-drug-response。CellLM论文还引用Ravasio 2020与Suphavilai 2021作为后续分析来源。
scfm-ds033,liu-2020-deepcdr,ACL综述资源：CDR / DeepCDR benchmark,human,cancer cell lines,bulk multi-omics + drug structure,https://github.com/kimmo1019/DeepCDR,CCLE + GDSC derived,CCLE/GDSC terms; code license,mixed_access,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS033,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=liu-2020-deepcdr。这不是一份单细胞原始数据；scFoundation把其嵌入用于CDR预测。
scfm-ds034,zheng-2023-scad,ACL综述资源：SCAD drug-response collection,human,cancer cell lines,bulk RNA-seq + scRNA-seq transfer learning,https://github.com/CompBioT/SCAD,GDSC; GSE149215; GSE108383; SCP542,source-specific,mixed_access,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS034,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=zheng-2023-scad。综述所称Zheng et al. 2023 drug response dataset对应SCAD数据组合。
scfm-ds035,weinstein-2013-tcga-pan-cancer,ACL综述资源：TCGA,human,multi-cancer,bulk multi-omics,https://portal.gdc.cancer.gov/,TCGA program,GDC data use policies,mixed_access,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS035,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=weinstein-2013-tcga-pan-cancer。TCGA是项目集合，不是单细胞数据。
scfm-ds036,gtex-2020-atlas,ACL综述资源：GTEx,human,multi-tissue,bulk RNA-seq; genotype,https://gtexportal.org/home/,dbGaP phs000424,GTEx/dbGaP data use policies,mixed_access,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS036,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=gtex-2020-atlas。个体级基因型/原始数据受控。
scfm-ds037,lotfollahi-2021-scarches,ACL综述资源：COVID-19 integration benchmark,human,peripheral blood; respiratory tissues,scRNA-seq,https://github.com/theislab/scarches-reproducibility,composite benchmark,source-specific,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS037,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=lotfollahi-2021-scarches。综述引用Lotfollahi等的整合/映射基准，未指向单一新采集COVID数据。
scfm-ds038,franzen-2019-panglaodb,ACL综述资源：PanglaoDB downstream collection,human; mouse,multi-tissue,scRNA-seq aggregation,https://panglaodb.se/,PanglaoDB,source-study specific,linked,,,topic:single-cell;resource:benchmark;source:acl-survey;dataset-id:DS038,详细记录见papers/single-cell-foundation-model-resources/metadata/downstream_datasets.csv；原始论文ID=franzen-2019-panglaodb。平台聚合数据；仍需追溯每个SRA样本的原始论文与许可。
